id,plate,origin,destiny,departure,arriving,status,departure gate,take off track,arriving gate,landing track,pilot,copilot, attendants
MA159,I359,Cancun - MEXICO,Ciudad de Mexico - MEXICO,180119_1757_America/Mexico_City,180119_1957_America/Mexico_City,boarded,D1,3,C13,3,US5049,US5311,ME1933;JA7918;ME9204;Me6629;US2945
MA173,I136,Cancun - MEXICO,Ciudad de Mexico - MEXICO,180128_0247_America/Mexico_City,180128_0447_America/Mexico_City,in transit,E7,1,A6,3,SP9501,IT6393,US4635;UK5639;US3241;ME3628
VO244,HB344,Monterrey - MEXICO,Ciudad de Mexico - MEXICO,180120_2343_America/Mexico_City,180121_0143_America/Mexico_City,landed,A24,3,B13,3,ME2104,CR8996,US3000;ME1055;US3923;ME3637;ME9164
VI486,XA416,Ciudad de Mexico - MEXICO,Cancun - MEXICO,180108_1945_America/Mexico_City,180108_2145_America/Mexico_City,landing,A16,3,A12,1,US7361,SW6306,GR4152;ME9849;ME5348;Me3262;ME5980;Me9521;ME9779
IN331,N420,Ciudad de Mexico - MEXICO,Tijuana - MEXICO,180125_0931_America/Mexico_City,180125_1131_America/Mexico_City,in transit,C22,2,E18,1,ME9833,US8981,US1815;IN3272;ME5774;IT9637;UK2147;ME5071
VO173,VT344,Ciudad de Mexico - MEXICO,La Paz - MEXICO,180120_1624_America/Mexico_City,180120_1824_America/Mexico_City,landing,A12,3,B15,1,ME9292,UK2982,ME6222;UK2281;US2508;US1399;SW6712;US8368;SW3572
AF253,CF-215,Ciudad de Mexico - MEXICO,Paris - FRANCE,180120_1638_America/Mexico_City,180121_1315_Europe/Paris,landing,A23,1,A10,3,US4650,IN9226,ME5705;ME3854;ME1664
AC412,D125,Ciudad de Mexico - MEXICO,Quebec - CANADA,180103_0635_America/Mexico_City,180103_1612_America/Toronto,boarded,B25,1,E28,1,UK6158,ME3588,US4635;US7202;UK4136;GR3572;JA4077;GR4037
VO338,XA467,Monterrey - MEXICO,Ciudad de Mexico - MEXICO,180128_1116_America/Mexico_City,180128_1316_America/Mexico_City,landing,E4,3,C25,2,CH8543,CH8605,SW3630;US4229;US1782;UK5825;ME6111;US1815
AZ416,XA386,Roma - ITALY,Ciudad de Mexico - MEXICO,180103_1918_Europe/Rome,180104_0128_America/Mexico_City,landing,A4,2,A3,3,ME5287,ME6466,ME1289;ME1504;Me3262
AM484,CF-216,Ciudad de Mexico - MEXICO,Cancun - MEXICO,180116_0236_America/Mexico_City,180116_0436_America/Mexico_City,landing,B10,3,C16,2,ME2460,ME5933,ME5494;ME4683;ME2818;ME5293
BA476,XA128,Ciudad de Mexico - MEXICO,Londres - UK,180121_1705_America/Mexico_City,180122_1142_Europe/London,in transit,C15,2,C26,3,UK6287,US2400,GR4580;US1500;ME5824;ME4846;US6788;US8597;US8865
LX417,D439,Zurich - SWITZERLAND,Ciudad de Mexico - MEXICO,180102_1521_Europe/Zurich,180102_2247_America/Mexico_City,boarded,B19,3,E16,1,JA9538,ME1671,ME8646;ME5705;US8865;ME4054;SW6593;ME3202;US3923
AE425,CF-207,Los Cabos - MEXICO,Ciudad de Mexico - MEXICO,180111_1114_America/Mexico_City,180111_1314_America/Mexico_City,in transit,A28,2,D14,2,ME8549,ME9934,ME6595;ME9430;ME1045;GR2504;ME6111
